"ID","species","dfromtop","totheight","height","LMA","narea"
"FP11","Pinus ponderosa",8.88,22.4,13.52,319.4472,2.77919
"FP11","Pinus ponderosa",0.62,22.4,21.78,342.7948,4.0107
"FP11","Pinus ponderosa",4.72,22.4,17.68,329.5399,3.365579
"FP15","Pinus ponderosa",2.74,27.69,24.95,312.4467,3.682907
"FP15","Pinus ponderosa",5.48,27.69,22.21,278.4037,2.524224
"FP15","Pinus ponderosa",8.4,27.69,19.29,255.9716,2.351546
"FP15","Pinus ponderosa",8.8,27.69,18.89,277.6446,3.452499
"FP15","Pinus ponderosa",6.85,27.69,20.84,289.3874,2.708803
"FP15","Pinus ponderosa",4.8,27.69,22.89,343.5908,3.347087
"FP16","Pinus ponderosa",8.03,35.58,27.55,313.0615,2.867569
"FP16","Pinus ponderosa",12.6,35.58,22.98,335.8101,2.975715
"FP16","Pinus ponderosa",1.89,35.58,33.69,349.5519,3.623571
"FP16","Pinus ponderosa",5.67,35.58,29.91,340.1128,3.262464
"FP16","Pinus ponderosa",9.92,35.58,25.66,342.1402,3.010312
"FP16","Pinus ponderosa",2.27,35.58,33.31,391.066,4.289363
"FP16","Pinus ponderosa",6.05,35.58,29.53,307.3718,2.90109
"FP17","Pinus ponderosa",4.14,33.12,28.98,318.7777,3.581849
"FP17","Pinus ponderosa",1.45,33.12,31.67,331.114,3.675366
"FP17","Pinus ponderosa",7.08,33.12,26.04,271.7722,3.200769
"FP17","Pinus ponderosa",1.81,33.12,31.31,333.8943,4.137158
"FP17","Pinus ponderosa",4.97,33.12,28.15,271.9525,2.657209
"FP17","Pinus ponderosa",7.72,33.12,25.4,244.6502,2.413344
"FP21","Pinus ponderosa",9.32,41.16,31.84,335.7743,3.230314
"FP21","Pinus ponderosa",6.21,41.16,34.95,305.9285,3.085787
"FP21","Pinus ponderosa",1.94,41.16,39.22,362.1693,4.658115
"FP21","Pinus ponderosa",12.62,41.16,28.54,349.3593,3.128785
"FP21","Pinus ponderosa",17.89,41.16,23.27,297.134,2.989168
"FP21","Pinus ponderosa",13.04,41.16,28.12,297.934,2.843327
"FP21","Pinus ponderosa",18.81,41.16,22.35,283.992,3.462675
"FP21","Pinus ponderosa",3.49,41.16,37.67,383.2974,3.411098
"FP22","Pinus ponderosa",1.39,23.34,21.95,251.4761,2.895358
"FP22","Pinus ponderosa",0.41,23.34,22.93,276.1112,3.465768
"FP22","Pinus ponderosa",2.79,23.34,20.55,284.4571,3.059914
"FP22","Pinus ponderosa",4.06,23.34,19.28,300.7122,4.291996
"FP22","Pinus ponderosa",0.81,23.34,22.53,278.3782,3.568332
"FP22","Pinus ponderosa",4.47,23.34,18.87,279.2089,3.42892
"FP22","Pinus ponderosa",3.31,23.34,20.03,251.6368,3.63376
"FP22","Pinus ponderosa",2.44,23.34,20.9,255.8584,3.642633
"FP23","Pinus ponderosa",11.02,25.94,14.92,252.532,2.334475
"FP23","Pinus ponderosa",0.32,25.94,25.62,265.9635,3.4123
"FP23","Pinus ponderosa",9.26,25.94,16.68,234.5269,2.259197
"FP23","Pinus ponderosa",3.91,25.94,22.03,269.155,2.902649
"FP23","Pinus ponderosa",6.93,25.94,19.01,248.0208,2.606624
"FP23","Pinus ponderosa",4.95,25.94,20.99,270.5129,3.33548
"FP23","Pinus ponderosa",7.64,25.94,18.3,238.4405,2.520336
"FP23","Pinus ponderosa",2.87,25.94,23.07,302.5796,3.444056
"FP24","Pinus ponderosa",2.86,25.11,22.25,290.0014,2.849176
"FP24","Pinus ponderosa",5.43,25.11,19.68,281.0852,2.797627
"FP24","Pinus ponderosa",7.62,25.11,17.49,253.1141,3.496636
"FP24","Pinus ponderosa",1.14,25.11,23.97,260.6628,3.182716
"FP24","Pinus ponderosa",1.43,25.11,23.68,268.1574,3.037435
"FP24","Pinus ponderosa",6.29,25.11,18.82,220.9514,2.253861
"FP24","Pinus ponderosa",4.29,25.11,20.82,269.1142,2.788049
"FP24","Pinus ponderosa",8.63,25.11,16.48,239.589,2.749439
"FP25","Pinus ponderosa",6.21,30.39,24.18,297.7909,3.205805
"FP25","Pinus ponderosa",10.02,30.39,20.37,282.0257,2.803369
"FP25","Pinus ponderosa",1.74,30.39,28.65,367.6937,4.148308
"FP25","Pinus ponderosa",7.19,30.39,23.2,292.2627,2.864979
"FP25","Pinus ponderosa",3.92,30.39,26.47,305.3825,3.199036
"FP25","Pinus ponderosa",4.11,30.39,26.28,318.0563,3.05014
"FP27","Pinus ponderosa",2.65,28.4,25.75,309.3713,3.375407
"FP27","Pinus ponderosa",0.53,28.4,27.87,241.3882,3.495821
"FP27","Pinus ponderosa",6.65,28.4,21.75,243.7684,2.681602
"FP27","Pinus ponderosa",9.46,28.4,18.94,260.3792,2.588526
"FP27","Pinus ponderosa",8.32,28.4,20.08,266.7423,3.229414
"FP27","Pinus ponderosa",11.28,28.4,17.12,271.202,3.143376
"FP29","Pinus ponderosa",1.7,23.38,21.68,324.0705,2.929601
"FP29","Pinus ponderosa",3.64,23.38,19.74,312.4796,3.356258
"FP29","Pinus ponderosa",4,23.38,19.38,306.84,2.650036
"FP29","Pinus ponderosa",0.97,23.38,22.41,306.7786,3.41577
"FP29","Pinus ponderosa",5.33,23.38,18.05,323.7877,3.293409
"FP29","Pinus ponderosa",2.91,23.38,20.47,288.9697,2.149988
"FP30","Pinus ponderosa",3.21,31.73,28.52,303.0028,2.897647
"FP30","Pinus ponderosa",15.39,31.73,16.34,301.8324,3.219518
"FP30","Pinus ponderosa",10.77,31.73,20.96,350.5334,4.459444
"FP30","Pinus ponderosa",17.1,31.73,14.63,265.4103,2.906863
"FP30","Pinus ponderosa",7.27,31.73,24.46,349.7796,3.290141
"FP30","Pinus ponderosa",18.81,31.73,12.92,287.4061,3.661093
"FP30","Pinus ponderosa",8.55,31.73,23.18,305.7951,3.398111
"FP32","Pinus ponderosa",0.39,7.36,6.97,259.1068,3.322752
"FP32","Pinus ponderosa",2.76,7.36,4.6,292.3632,3.093119
"FP32","Pinus ponderosa",3.75,7.36,3.61,301.8186,3.227139
"FP32","Pinus ponderosa",1.58,7.36,5.78,300.6468,3.178385
"FP32","Pinus ponderosa",1.18,7.36,6.18,263.7852,3.047377
"FP32","Pinus ponderosa",3.55,7.36,3.81,282.2563,2.93589
"FP32","Pinus ponderosa",1.97,7.36,5.39,324.0532,3.648066
"FP32","Pinus ponderosa",4.73,7.36,2.63,235.378,2.544168
"FP34","Pinus ponderosa",0.37,3.57,3.2,229.3894,2.534288
"FP34","Pinus ponderosa",1,3.57,2.57,264.6235,2.499406
"FP34","Pinus ponderosa",2.44,3.57,1.13,211.4181,2.046724
"FP34","Pinus ponderosa",0.75,3.57,2.82,267.4931,3.851487
"FP34","Pinus ponderosa",1.87,3.57,1.7,257.6541,2.654091
"FP34","Pinus ponderosa",2.62,3.57,0.95,241.173,2.470766
"FP34","Pinus ponderosa",1.5,3.57,2.07,267.4026,2.685407
"FP34","Pinus ponderosa",2.06,3.57,1.51,241.0672,2.715789
"FP35","Pinus ponderosa",11.19,31.93,20.74,350.2335,2.600603
"FP35","Pinus ponderosa",3.96,31.93,27.97,402.0088,4.453164
"FP35","Pinus ponderosa",8.05,31.93,23.88,347.3955,4.89514
"FP35","Pinus ponderosa",20.72,31.93,11.21,323.7908,3.14778
"FP35","Pinus ponderosa",16.51,31.93,15.42,400.3665,4.675337
"FP35","Pinus ponderosa",2.64,31.93,29.29,368.0554,4.011804
"FP35","Pinus ponderosa",22.65,31.93,9.28,299.9681,3.269652
"FP37","Pinus ponderosa",1.7,6.92,5.22,266.3378,3.415479
"FP37","Pinus ponderosa",2.97,6.92,3.95,252.3548,3.627043
"FP37","Pinus ponderosa",4.46,6.92,2.46,278.5141,2.996637
"FP37","Pinus ponderosa",2.55,6.92,4.37,267.235,3.221303
"FP37","Pinus ponderosa",3.82,6.92,3.1,254.8923,2.396949
"FP37","Pinus ponderosa",4.78,6.92,2.14,254.9304,2.515098
"FP38","Pinus ponderosa",0.5,5.85,5.35,278.0054,4.556502
"FP38","Pinus ponderosa",1.5,5.85,4.35,314.0686,4.638277
"FP38","Pinus ponderosa",2.33,5.85,3.52,317.9589,3.055268
"FP38","Pinus ponderosa",3.33,5.85,2.52,295.5584,3.072374
"FP38","Pinus ponderosa",1,5.85,4.85,286.272,4.536822
"FP38","Pinus ponderosa",2,5.85,3.85,275.6531,3.165484
"FP38","Pinus ponderosa",3,5.85,2.85,325.9958,3.763243
"FP38","Pinus ponderosa",4,5.85,1.85,267.4753,2.788341
"FP39","Pinus ponderosa",18.43,35.14,16.71,331.243,3.611081
"FP39","Pinus ponderosa",14.45,35.14,20.69,279.6635,2.958308
"FP39","Pinus ponderosa",2.31,35.14,32.83,317.8054,3.781884
"FP39","Pinus ponderosa",22.13,35.14,13.01,319.5246,3.067436
"FP39","Pinus ponderosa",9.25,35.14,25.89,299.9557,3.420018
"FP39","Pinus ponderosa",23.21,35.14,11.93,288.3826,2.469337
"FP39","Pinus ponderosa",3.7,35.14,31.44,365.8415,5.107979
"FP39","Pinus ponderosa",10.18,35.14,24.96,319.6385,4.071753
"FW11","Pinus monticola",3.43,38.89,35.46,211.5589,2.514276
"FW11","Pinus monticola",12.6,38.89,26.29,162.8534,2.156514
"FW11","Pinus monticola",7.56,38.89,31.33,186.2785,2.038699
"FW11","Pinus monticola",1.25,38.89,37.64,178.648,2.35487
"FW11","Pinus monticola",22.78,38.89,16.11,163.1156,1.781651
"FW11","Pinus monticola",24.75,38.89,14.14,145.2621,1.498823
"FW12","Pinus monticola",17.25,36.24,18.99,172.6875,1.697576
"FW12","Pinus monticola",3.72,36.24,32.52,201.8567,2.062474
"FW12","Pinus monticola",12.08,36.24,24.16,164.5546,1.741423
"FW12","Pinus monticola",19.35,36.24,16.89,153.5827,1.556936
"FW12","Pinus monticola",8.63,36.24,27.61,173.1958,1.877122
"FW12","Pinus monticola",9.2,36.24,27.04,160.0968,1.954712
"FW12","Pinus monticola",2.37,36.24,33.87,182.95,2.355459
"FW12","Pinus monticola",21.96,36.24,14.28,180.6084,1.6212
"FW15","Pinus monticola",7.01,23.13,16.12,146.938,1.451907
"FW15","Pinus monticola",3.76,23.13,19.37,145.9865,1.44081
"FW15","Pinus monticola",3.35,23.13,19.78,148.8511,1.539312
"FW15","Pinus monticola",0.3,23.13,22.83,152.7015,1.929495
"FW15","Pinus monticola",8.57,23.13,14.56,134.4138,1.399321
"FW15","Pinus monticola",12.52,23.13,10.61,133.4425,1.285663
"FW15","Pinus monticola",9.35,23.13,13.78,149.547,1.537732
"FW15","Pinus monticola",14.02,23.13,9.11,151.048,1.487642
"FW16","Pinus monticola",17.16,37.59,20.43,154.4607,1.470851
"FW16","Pinus monticola",11.99,37.59,25.6,165.02,2.044388
"FW16","Pinus monticola",1.65,37.59,35.94,192.5909,1.776648
"FW16","Pinus monticola",1.98,37.59,35.61,205.1251,2.295052
"FW16","Pinus monticola",13.14,37.59,24.45,180.0266,2.400038
"FW16","Pinus monticola",19.45,37.59,18.14,161.3236,1.383377
"FW16","Pinus monticola",7.49,37.59,30.1,174.4422,1.631495
"FW18","Pinus monticola",10,21.29,11.29,141.8683,1.326567
"FW18","Pinus monticola",7.5,21.29,13.79,148.066,1.246067
"FW18","Pinus monticola",7.73,21.29,13.56,135.1361,1.38146
"FW18","Pinus monticola",3.44,21.29,17.85,149.142,1.325846
"FW18","Pinus monticola",1.11,21.29,20.18,156.6735,1.8381
"FW18","Pinus monticola",1.67,21.29,19.62,153.8663,1.64429
"FW18","Pinus monticola",4.37,21.29,16.92,148.6523,1.398311
"FW18","Pinus monticola",6.67,21.29,14.62,154.9716,1.719773
"FW19","Pinus monticola",5.03,13.44,8.41,134.4889,0.932717
"FW19","Pinus monticola",1.62,13.44,11.82,153.6943,1.707118
"FW19","Pinus monticola",0.34,13.44,13.1,154.1846,1.946024
"FW19","Pinus monticola",4.22,13.44,9.22,133.0394,1.202437
"FW19","Pinus monticola",2.69,13.44,10.75,144.7504,1.464577
"FW19","Pinus monticola",3.31,13.44,10.13,134.6593,1.055526
"FW19","Pinus monticola",3.43,13.44,10.01,144.5378,1.297479
"FW19","Pinus monticola",1.18,13.44,12.26,138.3368,1.492325
"FW21","Pinus monticola",3.57,36.59,33.02,180.2133,1.700061
"FW21","Pinus monticola",4.3,36.59,32.29,193.692,2.279881
"FW21","Pinus monticola",0.59,36.59,36,174.844,1.769458
"FW21","Pinus monticola",9.03,36.59,27.56,169.1645,1.806667
"FW21","Pinus monticola",13.06,36.59,23.53,145.2402,1.409306
"FW21","Pinus monticola",10.75,36.59,25.84,162.2325,1.568122
"FW21","Pinus monticola",15,36.59,21.59,151.4124,1.275725
"FW21","Pinus monticola",7.74,36.59,28.85,168.8166,1.688049
"FW22","Pinus monticola",7.45,29.05,21.6,150.1494,1.670894
"FW22","Pinus monticola",2.93,29.05,26.12,164.7787,1.832363
"FW22","Pinus monticola",4.61,29.05,24.44,159.0276,2.266368
"FW22","Pinus monticola",8.67,29.05,20.38,154.3326,1.68876
"FW22","Pinus monticola",13.17,29.05,15.88,140.0363,1.325278
"FW22","Pinus monticola",0.98,29.05,28.07,162.3759,1.481859
"FW22","Pinus monticola",15.12,29.05,13.93,140.0313,1.492539
"FW22","Pinus monticola",11.27,29.05,17.78,147.4438,1.666237
"FW24","Pinus monticola",16.18,35.52,19.34,165.4062,1.623875
"FW24","Pinus monticola",4.45,35.52,31.07,221.9053,2.12296
"FW24","Pinus monticola",23.13,35.52,12.39,156.4714,1.478483
"FW24","Pinus monticola",2.02,35.52,33.5,200.2277,2.239633
"FW24","Pinus monticola",20.09,35.52,15.43,156.4273,1.492715
"FW24","Pinus monticola",14.56,35.52,20.96,183.9045,1.91371
"FW26","Pinus monticola",0.09,5.42,5.33,125.1366,1.477854
"FW26","Pinus monticola",0.93,5.42,4.49,138.6108,1.445192
"FW26","Pinus monticola",2.54,5.42,2.88,144.5677,1.310795
"FW26","Pinus monticola",1.84,5.42,3.58,136.8525,1.386069
"FW26","Pinus monticola",0.76,5.42,4.66,133.3754,1.237928
"FW26","Pinus monticola",1.44,5.42,3.98,143.3952,1.189098
"FW26","Pinus monticola",2.03,5.42,3.39,149.8717,1.293826
"FW26","Pinus monticola",2.8,5.42,2.62,145.6689,1.394599
"FW27","Pinus monticola",3.93,34.56,30.63,160.5625,1.521521
"FW27","Pinus monticola",7.42,34.56,27.14,147.3498,1.382591
"FW27","Pinus monticola",11.47,34.56,23.09,142.1108,1.323952
"FW27","Pinus monticola",1.55,34.56,33.01,178.0242,2.168618
"FW27","Pinus monticola",2.33,34.56,32.23,190.2577,1.906276
"FW27","Pinus monticola",13.46,34.56,21.1,134.9136,1.250742
"FW27","Pinus monticola",6.98,34.56,27.58,153.5448,1.479061
"FW27","Pinus monticola",10.47,34.56,24.09,143.6745,1.310384
"FW28","Pinus monticola",16.4,44.64,28.24,173.1062,2.01956
"FW28","Pinus monticola",12.17,44.64,32.47,176.4119,2.040376
"FW28","Pinus monticola",2.19,44.64,42.45,187.8753,2.374902
"FW28","Pinus monticola",7.49,44.64,37.15,174.5732,2.010694
"FW28","Pinus monticola",14.09,44.64,30.55,196.9736,2.155691
"FW28","Pinus monticola",18.45,44.64,26.19,157.3466,1.941475
"FW28","Pinus monticola",8.28,44.64,36.36,194.8762,2.08211
"FW28","Pinus monticola",3.29,44.64,41.35,178.1317,1.891883
"FW30","Pinus monticola",6.27,22.59,16.32,172.4489,1.779226
"FW30","Pinus monticola",12.53,22.59,10.06,156.4624,1.561142
"FW30","Pinus monticola",17.9,22.59,4.69,164.8395,1.605045
"FW30","Pinus monticola",2.69,22.59,19.9,184.7298,2.033574
"FW30","Pinus monticola",3.36,22.59,19.23,194.103,2.003465
"FW30","Pinus monticola",15.22,22.59,7.37,153.5757,1.388451
"FW30","Pinus monticola",10.74,22.59,11.85,177.5581,1.733685
"FW30","Pinus monticola",20.29,22.59,2.3,151.4601,1.325189
"FW38","Pinus monticola",3.96,44.99,41.03,186.13,1.831581
"FW38","Pinus monticola",11.09,44.99,33.9,193.6494,2.780876
"FW38","Pinus monticola",5.97,44.99,39.02,176.8983,1.875098
"FW38","Pinus monticola",18.31,44.99,26.68,161.482,1.786786
"FW38","Pinus monticola",13.87,44.99,31.12,160.6455,1.767576
"FW38","Pinus monticola",1.98,44.99,43.01,205.4182,2.781936
"FW38","Pinus monticola",14.56,44.99,30.43,168.6622,1.64374
"FW38","Pinus monticola",21.08,44.99,23.91,170.8914,1.80897
"FW39","Pinus monticola",6.33,40.23,33.9,175.3391,1.824899
"FW39","Pinus monticola",12.09,40.23,28.14,157.613,1.597711
"FW39","Pinus monticola",17.85,40.23,22.38,138.6093,1.615271
"FW39","Pinus monticola",2.59,40.23,37.64,212.5246,2.356187
"FW39","Pinus monticola",3.11,40.23,37.12,185.4489,1.630206
"FW39","Pinus monticola",14.39,40.23,25.84,147.417,1.561955
"FW39","Pinus monticola",9.79,40.23,30.44,167.0587,2.003096
"FW39","Pinus monticola",20.73,40.23,19.5,125.5421,1.302029
"FW42","Pinus monticola",1.03,12.98,11.95,173.4554,3.326473
"FW42","Pinus monticola",6.95,12.98,6.03,170.4702,1.992836
"FW42","Pinus monticola",3.09,12.98,9.89,184.1748,2.559132
"FW42","Pinus monticola",10.29,12.98,2.69,136.196,1.472228
"FW42","Pinus monticola",9.26,12.98,3.72,164.1135,1.445988
"FW44","Pinus monticola",0.3,4.95,4.65,126.4297,1.500966
"FW44","Pinus monticola",0.91,4.95,4.04,130.9775,1.668641
"FW44","Pinus monticola",1.22,4.95,3.73,135.7629,1.500364
"FW44","Pinus monticola",2.03,4.95,2.92,127.7141,1.315111
"FW44","Pinus monticola",1.62,4.95,3.33,142.4047,1.516334
